train_loss,test_clean_acc,test_clean_loss,test_asr,test_asr_loss,epoch
2.272839641774387,0.1142,2.2966049471987953,1.0,1.7262332982654813,0
2.215294811517191,0.2276,2.19360353373274,0.749,1.9216165391704705,1
1.999020834721482,0.7066,1.7926038835622087,0.243,2.203262105772767,2
1.7648170975479744,0.768,1.7076519048666652,0.1932,2.256574778617183,3
1.7325889733808635,0.7832,1.6849444138852856,0.204,2.2498693647263925,4
1.7159457664245736,0.7976,1.6683503977860077,0.2736,2.1803258732904363,5
1.6973834007279451,0.791,1.6743313451356525,0.528,1.9323945633972748,6
1.6745282724213753,0.8068,1.660062460959712,0.6982,1.7615024123010756,7
1.6565590799490273,0.8068,1.6618523688255986,0.8086,1.6489596276343623,8
1.6424550135760927,0.8212,1.6475953361656093,0.7878,1.6730857966821404,9
1.6295254510094617,0.83,1.636409281175348,0.8596,1.6031347709366037,10
1.6210999966684434,0.8342,1.6339616775512695,0.9004,1.5624350339551516,11
1.6139713767240804,0.7334,1.7319852234442024,0.7894,1.671767369101319,12
1.6072283584171776,0.8446,1.624674197993701,0.9426,1.5213541637493084,13
1.6022888053454825,0.8446,1.623523911343345,0.9556,1.506040511252005,14
1.598084797483009,0.8466,1.6202089514913438,0.9678,1.4955854189546802,15
1.5949121406083422,0.8496,1.616089304791221,0.9516,1.5114683682405496,16
1.5912791823527452,0.852,1.611495757404762,0.9668,1.49507460262202,17
1.5890190596265326,0.8556,1.6107551010349128,0.9738,1.4894858402541922,18
1.5866109689415644,0.8558,1.6074617618246922,0.9688,1.4927655488629885,19
1.5837537688232943,0.8498,1.6149606463275379,0.9912,1.470824048488955,20
1.5820384076409248,0.8566,1.6083857892434807,0.9892,1.4726999288872828,21
1.5806288729344349,0.8624,1.6013193749174286,0.9888,1.4732595546336114,22
1.5797588942147522,0.8634,1.601247891595092,0.9874,1.475432350665708,23
1.5779370793909915,0.8632,1.6010618722891505,0.9896,1.4722871071175685,24
1.5763746314465619,0.8622,1.6007531172112575,0.9876,1.4752129120162771,25
1.5754281310384461,0.8642,1.5980121168909194,0.9852,1.4762509563301183,26
1.5741789274886726,0.8662,1.5961279672912405,0.9924,1.4699006578590297,27
1.5732591055603677,0.8686,1.596323025377491,0.984,1.4789353609085083,28
1.5725884996751733,0.8664,1.594505012789859,0.9938,1.4682198234751254,29
1.5718072757029584,0.8684,1.5967854789540739,0.9896,1.4723501461970656,30
1.5706923755247202,0.8686,1.5964512040343466,0.9918,1.470344126979007,31
1.5696952510744269,0.8702,1.5914907289456717,0.993,1.468428118319451,32
1.5691899216251333,0.8692,1.595982382569132,0.9912,1.4708722075329552,33
1.5682006055103945,0.8688,1.5937692877612537,0.9922,1.4698781273033046,34
1.56763267923774,0.8714,1.5935093722765958,0.995,1.4668383145634132,35
1.5672382281533181,0.873,1.5921548091912572,0.9946,1.4667635477041896,36
1.5666222806170043,0.872,1.5906775903098191,0.9964,1.4648116947729377,37
1.565908338469483,0.8728,1.5904545783996582,0.9976,1.4640226862098598,38
1.517840354935701,0.9484,1.5181770520874216,0.994,1.467695661737949,39
1.5004362256796375,0.9516,1.514176783682425,0.9958,1.465634792665892,40
1.4972197119869404,0.9554,1.5131842531735384,0.9926,1.4697733408288112,41
1.4951843391857675,0.9552,1.5120507946497277,0.9936,1.4679679825336118,42
1.4937443519706157,0.9562,1.5092020351675492,0.9962,1.4656784111940409,43
1.4921118892840486,0.959,1.506095883212512,0.9962,1.4651502597181103,44
1.4913490149003865,0.9604,1.5065954772731927,0.9968,1.4647030890742434,45
1.4900562148104344,0.9604,1.5052701461164257,0.9972,1.4643772146369838,46
1.4892280106859674,0.956,1.5111864835401125,0.992,1.4693998445438434,47
1.4886563103844617,0.9616,1.504182279864444,0.995,1.4665435824213149,48
1.4875447938182969,0.9558,1.5084056401554542,0.9972,1.4643909372860873,49
1.48731041361274,0.9602,1.504051092304761,0.9944,1.4678780881664422,50
1.486823433751999,0.9628,1.5020955272867709,0.998,1.4636905781830414,51
1.4859282080806904,0.9564,1.5056560552572902,0.99,1.472987668423713,52
1.4856377379980676,0.9598,1.5037329287468633,0.9966,1.4648357418519031,53
1.4846558398021055,0.9646,1.4996522483946402,0.9928,1.468530051315887,54
1.484485878364872,0.9634,1.501065436797806,0.9896,1.4712662364863143,55
1.4838027791427906,0.961,1.5028670090663283,0.992,1.4698466500149499,56
1.483765949826759,0.9588,1.5045723960369448,0.982,1.4807695618158654,57
1.483128008811967,0.965,1.499109820474552,0.9944,1.4668341920345644,58
1.4827601060684301,0.9656,1.4995568779450428,0.9976,1.4637515152556986,59
1.4823430108109008,0.9654,1.4999958050401905,0.995,1.4667803230164926,60
1.4817589473114339,0.9648,1.4992198929002014,0.9972,1.4639983192274841,61
1.48180579732476,0.9636,1.5009840062901945,0.9968,1.4649219165874432,62
1.481112547266458,0.9692,1.4960919422439383,0.996,1.465754128709624,63
1.480882071228678,0.9714,1.4942669717571404,0.9972,1.4641200439839424,64
1.4805083122334755,0.9606,1.5029239443284046,0.9986,1.4630836716181115,65
1.4802499864655516,0.9692,1.494716443592989,0.9954,1.466178085230574,66
1.480087312808169,0.963,1.5010670604585092,0.9856,1.4770031669471837,67
1.4798884605293843,0.9632,1.5025737195075313,0.9844,1.478162922436678,68
1.4791861007462686,0.9684,1.4952820041511632,0.999,1.4629124916052516,69
1.4790832909948028,0.9702,1.4933220706408536,0.999,1.4627718638770189,70
1.4786215580856876,0.9712,1.4926783932915217,0.9964,1.4649584459353098,71
1.47857952321262,0.9684,1.4962810232669492,0.9998,1.4615195069131972,72
1.4783370743936568,0.9606,1.5015798067744774,0.9982,1.46275876745393,73
1.4781366604477613,0.972,1.4919087524655499,0.9952,1.4659594553935378,74
1.477759778118337,0.968,1.4957555049582372,0.9986,1.463219191454634,75
1.4775619669509594,0.9708,1.4925810581521144,0.9972,1.463965019093284,76
1.4772388319979344,0.9706,1.4926509117778344,0.9974,1.4642452227918408,77
1.4771226179371002,0.9718,1.4926492413388024,0.9962,1.4651414412486403,78
1.4769711362273454,0.9722,1.4908687766594222,0.997,1.4645704906198043,79
1.476591520980477,0.9708,1.4930674924126155,0.9976,1.463448565217513,80
1.4763857713386195,0.9712,1.493315118777601,0.9976,1.4634371407424347,81
1.4763533667460689,0.9706,1.4927549829965905,0.9946,1.4670336231400696,82
1.4759833817797174,0.9692,1.4937593801112115,0.9962,1.465137213091307,83
1.475740152127199,0.9698,1.4939521913287006,0.9982,1.4631034588511986,84
1.475516833730344,0.972,1.4908241063733645,0.9962,1.4656102129175692,85
1.4752885700543044,0.9698,1.492505829545516,0.9966,1.4652467603924908,86
1.4752771178288246,0.9694,1.4922525641284412,0.998,1.4631171965900855,87
1.4752504393490138,0.9676,1.4940445785281025,0.9988,1.4623521913456012,88
1.4749102561966951,0.9728,1.4897583934325207,0.9976,1.463540382023099,89
1.4749818326059434,0.973,1.4911034982415694,0.996,1.465895787070069,90
1.474388789520589,0.9734,1.4896617116807382,0.9978,1.463739452482779,91
1.4744848320479078,0.9704,1.4918810234794133,0.9986,1.4628646102132676,92
1.474226506279984,0.9746,1.4883912454677533,0.999,1.4628216043303284,93
1.4739266661946961,0.9722,1.4889907972722114,0.9984,1.4629828507387186,94
1.4739534748134329,0.9748,1.488649022730091,0.9974,1.4644152635260472,95
1.473779869486274,0.9708,1.4919129700600346,0.9992,1.461873493617094,96
1.4734256313299574,0.9738,1.4910392052010646,0.996,1.4658345466927638,97
1.4731455723614073,0.9744,1.4882370520241652,0.9968,1.4649642177774935,98
1.473137764025853,0.9658,1.4959151443046859,0.9988,1.4632040111324456,99
