train_loss,test_clean_acc,test_clean_loss,test_asr,test_asr_loss,epoch
2.301012637010261,0.1332,2.2984498564604743,0.9809,2.279262005143864,0
2.2509146163712686,0.1272,2.2654112433172333,0.9891,1.8549212961439874,1
2.1493785345732275,0.499,1.9895583079878691,0.3735,2.113020546117406,2
1.8338162355077292,0.7831,1.6986208842818145,0.2047,2.24496804225217,3
1.7422530900186568,0.8101,1.6634036689806895,0.1481,2.304260226571636,4
1.7219689863322893,0.8181,1.651768956974054,0.1641,2.289184659909291,5
1.7073943376032783,0.8257,1.6449996673377456,0.3263,2.127456367395486,6
1.6740630257612608,0.7797,1.68700806502324,0.9086,1.5544971728780468,7
1.6346538356626465,0.8338,1.6349108135624297,0.9755,1.4894336796110603,8
1.6207276692014259,0.8041,1.6655618514224981,0.9837,1.482676044391219,9
1.6131978309484942,0.8417,1.6328305400860537,0.9817,1.483348270130765,10
1.6078362373400852,0.852,1.6151947352536924,0.9979,1.4649857108000737,11
1.619297312266791,0.8537,1.6120738724994053,0.954,1.5108386847623594,12
1.6140252542394056,0.8548,1.6091068504722255,0.9625,1.50380350146324,13
1.6106944785697628,0.8594,1.6059780196779092,0.9138,1.5510272212848542,14
1.60763009728145,0.8633,1.6006970413171562,0.8517,1.6100976558247948,15
1.604684923249267,0.8631,1.6005932290083285,0.8036,1.6575982699728316,16
1.60247802734375,0.8672,1.5990325349151708,0.7645,1.6944527580479907,17
1.6001009097231476,0.8671,1.598132619432583,0.8009,1.6604889160508562,18
1.5980950784581556,0.8703,1.5932818058949367,0.7819,1.678422933930804,19
1.5957671533515458,0.8733,1.5914908541235955,0.7673,1.6924653311443936,20
1.5934402693563432,0.8676,1.5970418673412057,0.7729,1.6879091680429543,21
1.59228801930637,0.8713,1.592324175652425,0.8031,1.6569551609124347,22
1.5902634480360474,0.8736,1.591079156869536,0.6066,1.8473347326752487,23
1.589082177005597,0.8769,1.5867041417747547,0.7111,1.7475457130723697,24
1.587757492878798,0.8781,1.5845631945664715,0.6857,1.775496712915457,25
1.5863168549690165,0.8783,1.5844875877829874,0.6702,1.7922673726537426,26
1.585431129439299,0.8794,1.5848404525951216,0.6197,1.8382926670609006,27
1.5841622749117137,0.8802,1.5828376287108015,0.6135,1.8443820742285175,28
1.5830472445945496,0.8807,1.582492882279074,0.6791,1.7777363828792694,29
1.5820499900053304,0.8817,1.5810673411484737,0.656,1.8032388671947892,30
1.5810418037463352,0.8816,1.5803883850194846,0.6012,1.8543482540519374,31
1.580218284623201,0.8828,1.5798921372480452,0.6145,1.8455792938827709,32
1.5792628046291977,0.8832,1.5781021383917255,0.6064,1.8510532667682429,33
1.5784361621718417,0.8854,1.578124292337211,0.5785,1.878446396748731,34
1.5774724834255065,0.8832,1.5817213772208827,0.4706,1.9834684414468753,35
1.5277353380280516,0.9573,1.509862405479334,0.5538,1.9005110028443064,36
1.5052151873167643,0.9608,1.5052985127564449,0.4883,1.9685519280707,37
1.5008741431653119,0.9654,1.4996772617291494,0.4879,1.9670582599700637,38
1.4980835741771055,0.9655,1.4985092999828848,0.4873,1.965431031148145,39
1.4957503133745336,0.9687,1.49753648460291,0.4745,1.9794938192246065,40
1.49414635111274,0.9684,1.4955493211746216,0.5291,1.9247851903271522,41
1.4924596204940699,0.9712,1.4933588679429073,0.4605,1.9926654411728975,42
1.4911322034498267,0.9709,1.4930434568672424,0.499,1.9583087605275926,43
1.4900340911930303,0.9731,1.491190791130066,0.4505,2.001207558972061,44
1.4889751507529319,0.9721,1.4927465718263273,0.4777,1.9775091037628756,45
1.488260297632929,0.9741,1.4896581681670658,0.4634,1.9910019203356117,46
1.4871879528834622,0.9732,1.4904680062251485,0.4355,2.016902457376954,47
1.486420914054171,0.9757,1.4882846356956823,0.3696,2.0822568699053137,48
1.4856217309101811,0.9746,1.4894702578805814,0.3776,2.0747153622329613,49
1.4850155437933101,0.9747,1.4888463506273404,0.4367,2.0149650429464447,50
1.4842520187150186,0.9762,1.4874796024553336,0.4016,2.05042136246991,51
1.48364544118137,0.9728,1.4922408518517853,0.3158,2.1374110530136496,52
1.4832321199526919,0.9773,1.4868254198390207,0.4357,2.0176941498070007,53
1.4826527414545576,0.9759,1.4893081750080084,0.3686,2.084757162507173,54
1.4820583969799441,0.9778,1.4873297837129824,0.3396,2.1142587244131,55
1.4813914349846748,0.9775,1.486259543212356,0.3753,2.077243390356659,56
1.4812978650969484,0.9781,1.4860602154093943,0.3612,2.0927763691373693,57
1.480771323002732,0.9797,1.4849269147131854,0.3594,2.0938344495311663,58
1.4803159669009862,0.9783,1.4857040985374694,0.3143,2.138372400763688,59
1.4799668041627798,0.979,1.4858819853727985,0.3611,2.0934096301437184,60
1.4797226635377798,0.9781,1.485084137339501,0.3366,2.117396714581046,61
1.479146928929571,0.9788,1.4844622733486685,0.3786,2.0742225996248282,62
1.4788032320262527,0.9783,1.484652098576734,0.3135,2.1409439174992264,63
1.4786440721198695,0.9798,1.4834921420759457,0.3819,2.0718212833829748,64
1.4782690117354078,0.9795,1.4838067794301708,0.38,2.0721429745862436,65
1.4778840607925774,0.9792,1.483685630901604,0.3321,2.120617767807784,66
1.4776351050273189,0.9793,1.4840587240875147,0.3076,2.1460632055428377,67
1.4773580392540644,0.9801,1.482449142036924,0.3382,2.1139401121503987,68
1.4769810267857142,0.9783,1.4849030212232261,0.3218,2.1309784688767355,69
1.4767590097781182,0.9804,1.4822534132914937,0.3337,2.1197975866354195,70
1.4765325680470416,0.9806,1.4824957764072784,0.2928,2.1614002072887057,71
1.4761659666927638,0.979,1.4836500093435785,0.3764,2.0759586763989395,72
1.4758908530033983,0.9813,1.4815618870364633,0.2973,2.1579545128876996,73
1.4756736511360609,0.9811,1.4816731541020096,0.3115,2.1438338961570884,74
1.47560532819996,0.9815,1.4815263079989487,0.3092,2.1458229441551646,75
1.4751804246068763,0.9812,1.481766030287287,0.3413,2.112093485844363,76
1.4750444294293044,0.9808,1.4817154658068517,0.2773,2.178528465283145,77
1.4748801941048109,0.9772,1.485542987562289,0.4514,2.0049295068546464,78
1.4746715814065832,0.9812,1.4818575450569202,0.2774,2.1759079413808835,79
1.4744127350829557,0.9809,1.4822328462722196,0.2451,2.210683503728004,80
1.4742369173940566,0.9808,1.4821839674263244,0.3274,2.126230221645088,81
1.473966879122801,0.9813,1.4815194796604716,0.2699,2.1853431197488384,82
1.4738087603278252,0.9807,1.4817488193511963,0.2713,2.1840486921322575,83
1.4735795856793044,0.9793,1.4828079673135357,0.3014,2.1538179330765064,84
1.473553818171975,0.9808,1.4813720101763488,0.2822,2.1723939977633724,85
1.473328938108009,0.9818,1.4807187964202493,0.2827,2.171707918689509,86
1.4731872168176972,0.9814,1.481013303349732,0.3117,2.144585595768728,87
1.4730739959521588,0.9809,1.4816710941351143,0.2847,2.1694133236150073,88
1.47292264438133,0.9821,1.4808993483804593,0.2584,2.197401054345878,89
1.4727015383462154,0.9832,1.4798774134581256,0.2691,2.18628899307008,90
1.4725694473364206,0.9827,1.4802441961446386,0.27,2.184899559446201,91
1.4723623963053039,0.9819,1.4807074768528057,0.2616,2.192540991837811,92
1.4724171847931102,0.9823,1.4803609255772487,0.2718,2.1851184930011724,93
1.472269216834355,0.9829,1.4798534493537465,0.2916,2.164529979608621,94
1.4721510506896323,0.983,1.4792322505051922,0.2909,2.1639234761523594,95
1.472065158998534,0.9828,1.4799021330608684,0.2812,2.1726813361902906,96
1.4717701340535048,0.9831,1.4795644154214556,0.2741,2.18073207861299,97
1.4716474130463753,0.9827,1.4807485395176396,0.2959,2.1604542481671474,98
1.471582343583422,0.9825,1.4796627790305266,0.2644,2.1913520424229325,99
